Algoritmo,Custo_Total,Impacto_Ambiental,Tempo_Total_Segundos,Num_Fornecedores_Distintos,Selecao_Fornecedores,Eh_Incumbente
MO-SMAC-PE,714.864428,9.008803,2749.43,5,[106 337 437 437 106 106 266 106 94 94 337 94 266],0
MO-SMAC-PE,737.303871,2.834824,2749.43,5,[61 61 91 328 489 61 328 328 108 91 489 108 108],0
MO-SMAC-PE,767.450173,2.831215,2749.43,5,[93 93 91 328 489 93 328 328 93 91 489 91 453],0
MO-SMAC-PE,732.527333,3.404811,2749.43,5,[61 61 490 472 490 61 328 328 108 108 490 108 108],0
MO-SMAC-PE,1367.062491,2.735841,2749.43,5,[108 108 411 372 489 257 411 257 108 108 489 411 108],0
MO-SMAC-PE,776.237857,2.771419,2749.43,5,[55 75 55 328 489 75 328 328 75 75 489 108 108],0
MO-SMAC-PE,757.203660,2.833592,2749.43,5,[108 456 65 456 489 65 328 65 108 108 489 108 108],0
