Alg,Nnd,HVratio,IGD,Tempo
MO-MC-SHADE,82,0.9822662662597302,0.034866703921725604,2294.2719805
MO-MCDE,43,0.9741644135650005,0.053532275870657356,1278.2204086
MILP,8,0.9735551509490398,0.06733442234255624,4.8174632
MO-SMAC-PE,7,0.9286375068680277,0.09541200894240796,2749.43
