K,Algoritmo,Rep,Custo_Total,Impacto_Ambiental,Tempo_Total_Segundos
13,MOEAD_AV,1,637.058983,3.543077,103.587
13,MOEAD_AV,1,637.094506,3.542914,103.587
13,MOEAD_AV,1,637.097536,3.542407,103.587
13,MOEAD_AV,1,637.105300,3.542170,103.587
13,MOEAD_AV,1,637.107299,3.541469,103.587
13,MOEAD_AV,1,637.142822,3.541306,103.587
13,MOEAD_AV,1,637.145852,3.540800,103.587
13,MOEAD_AV,1,637.153616,3.540562,103.587
13,MOEAD_AV,1,637.190661,3.540541,103.587
13,MOEAD_AV,1,637.259862,3.539972,103.587
13,MOEAD_AV,1,637.284156,3.520219,103.587
13,MOEAD_AV,1,637.287415,3.511832,103.587
13,MOEAD_AV,1,637.288664,3.508004,103.587
13,MOEAD_AV,1,637.297031,3.500243,103.587
13,MOEAD_AV,1,637.300290,3.491856,103.587
13,MOEAD_AV,1,637.301539,3.488028,103.587
13,MOEAD_AV,1,637.301973,3.482571,103.587
13,MOEAD_AV,1,637.305232,3.475205,103.587
13,MOEAD_AV,1,637.306481,3.470356,103.587
13,MOEAD_AV,1,637.308082,3.448843,103.587
13,MOEAD_AV,1,637.308873,3.448706,103.587
13,MOEAD_AV,1,637.311341,3.440456,103.587
13,MOEAD_AV,1,637.312590,3.436628,103.587
13,MOEAD_AV,1,637.313381,3.436491,103.587
13,MOEAD_AV,1,637.321712,3.428372,103.587
13,MOEAD_AV,1,637.322503,3.428234,103.587
13,MOEAD_AV,1,637.332558,3.410714,103.587
13,MOEAD_AV,1,637.335817,3.402327,103.587
13,MOEAD_AV,1,637.336608,3.402189,103.587
13,MOEAD_AV,1,637.337066,3.398499,103.587
13,MOEAD_AV,1,637.337857,3.398362,103.587
13,MOEAD_AV,1,637.345150,3.396554,103.587
13,MOEAD_AV,1,637.345941,3.396416,103.587
13,MOEAD_AV,1,637.346188,3.390243,103.587
13,MOEAD_AV,1,637.346979,3.390105,103.587
13,MOEAD_AV,1,637.358638,3.387055,103.587
13,MOEAD_AV,1,637.359429,3.386918,103.587
